31,3.365818,6.477641,4.918365,4.123046,3.63596,3.306418,3.068695,2.889328,2.749414,2.637439, ,,,,,,,,,,,,,,,,,, , 
32,3.494169,6.586445,5.000298,4.190785,3.694799,3.35912,3.116893,2.934071,2.79142,2.677219, ,,,,,,,,,,,,,,,,,, , 
33,3.61676,6.690759,5.078678,4.255454,3.750865,3.409248,3.162659,2.976488,2.831179,2.714814, ,,,,,,,,,,,,,,,,,, , 
34,3.733283,6.790639,5.153536,4.317077,3.804177,3.456818,3.206007,3.016591,2.868704,2.750238, ,,,,,,,,,,,,,,,,,, , 
35,3.843443,6.886146,5.224911,4.375682,3.854757,3.501851,3.246956,3.054399,2.904012,2.783506, ,,,,,,,,,,,,,,,,,, , 
36,3.946962,6.977351,5.292848,4.431302,3.902635,3.544371,3.28553,3.089932,2.937124,2.81464, ,,,,,,,,,,,,,,,,,, , 
37,4.04358,7.064332,5.357395,4.483977,3.947844,3.58441,3.321757,3.123219,2.968067,2.843664, ,,,,,,,,,,,,,,,,,, , 
38,4.133055,7.147173,5.418611,4.533752,3.990422,3.622002,3.355669,3.154289,2.996869,2.870607, ,,,,,,,,,,,,,,,,,, , 
39,4.21516,7.225966,5.476557,4.580675,4.030412,3.657186,3.387302,3.183179,3.023565,2.895503, ,,,,,,,,,,,,,,,,,, , 
40,4.289692,7.300809,5.5313,4.624803,4.067863,3.690006,3.416698,3.209926,3.048192,2.918389, ,,,,,,,,,,,,,,,,,, , 
41,4.356463,7.371805,5.582913,4.666193,4.102825,3.720509,3.443902,3.234574,3.070792,2.939304, ,,,,,,,,,,,,,,,,,, , 
42,4.415308,7.439063,5.631473,4.704909,4.135355,3.748747,3.468961,3.25717,3.09141,2.958292, ,,,,,,,,,,,,,,,,,, , 
43,4.466081,7.502699,5.677064,4.741021,4.165515,3.774775,3.491929,3.277763,3.110095,2.975403, ,,,,,,,,,,,,,,,,,, , 
44,4.508658,7.562832,5.71977,4.774598,4.193366,3.798653,3.512861,3.296406,3.126899,2.990685, ,,,,,,,,,,,,,,,,,, , 
45,4.542936,7.619585,5.759684,4.805718,4.218977,3.820443,3.531817,3.313158,3.141875,3.004193, ,,,,,,,,,,,,,,,,,, , 
46,4.568832,7.673087,5.796899,4.83446,4.24242,3.84021,3.548858,3.328077,3.155084,3.015984, ,,,,,,,,,,,,,,,,,, , 
47,4.586286,7.723468,5.831513,4.860905,4.263767,3.858024,3.564049,3.341226,3.166585,3.026118, ,,,,,,,,,,,,,,,,,, , 
48,4.595261,7.770864,5.863626,4.88514,4.283095,3.873954,3.577458,3.352671,3.176441,3.034655, ,,,,,,,,,,,,,,,,,, , 
49,4.59574,7.815411,5.893343,4.907252,4.300484,3.888076,3.589156,3.362478,3.184719,3.041661, ,,,,,,,,,,,,,,,,,, , 
50,4.587729,7.857249,5.920769,4.927332,4.316016,3.900466,3.599214,3.370718,3.191487,3.047202, ,,,,,,,,,,,,,,,,,, , 
51,4.571256,7.896519,5.946013,4.945472,4.329774,3.911201,3.607707,3.377462,3.196813,3.051346, ,,,,,,,,,,,,,,,,,, , 
52,4.54637,7.933362,5.969183,4.961768,4.341843,3.920361,3.614712,3.382783,3.20077,3.054164, ,,,,,,,,,,,,,,,,,, , 
53,4.513143,7.967923,5.990392,4.976314,4.352312,3.928029,3.620305,3.386757,3.203431,3.055727, ,,,,,,,,,,,,,,,,,, , 
54,4.471669,8.000344,6.00975,4.989207,4.361267,3.934286,3.624566,3.389461,3.204869,3.056108, ,,,,,,,,,,,,,,,,,, , 
55,4.422061,8.030769,6.027372,5.000546,4.368799,3.939216,3.627575,3.39097,3.205161,3.055381, ,,,,,,,,,,,,,,,,,, , 
56,4.364456,8.05934,6.043369,5.01043,4.374998,3.942905,3.629412,3.391364,3.204382,3.05362, ,,,,,,,,,,,,,,,,,, , 
57,4.29901,8.086199,6.057855,5.018956,4.379953,3.945436,3.630159,3.39072,3.20261,3.050901, ,,,,,,,,,,,,,,,,,, , 
58,4.225899,8.111487,6.070941,5.026224,4.383756,3.946896,3.629897,3.389119,3.19992,3.0473, ,,,,,,,,,,,,,,,,,, , 
59,4.145319,8.13534,6.082741,5.032331,4.386496,3.947369,3.628709,3.386638,3.196392,3.042892, ,,,,,,,,,,,,,,,,,, , 
60,4.057487,8.157896,6.093364,5.037376,4.388265,3.94694,3.626674,3.383358,3.1921,3.037753, ,,,,,,,,,,,,,,,,,, , 
,,,,,,,,,,,,,,,,,,,,,,,,,,,,, , 
