42,0.2215166,321.0676,173.3066,36.95155,17.70526,11.31781,8.377772,6.755848,5.750805,5.076524,4.596841
43,0.2269674,327.2696,176.4334,37.57204,17.98529,11.4879,8.498359,6.849588,5.828136,5.142963,4.655596
44,0.2333336,332.9973,179.3176,38.14613,18.24549,11.64663,8.611304,6.937656,5.900968,5.205663,4.711134
45,0.24064,338.2289,181.9492,38.67203,18.48519,11.79365,8.716397,7.019916,5.969208,5.264555,4.763403
46,0.2489087,342.9438,184.3184,39.14807,18.70374,11.92861,8.813447,7.096245,6.032771,5.319581,4.812362
47,0.2581583,347.123,186.4161,39.5727,18.90056,12.05124,8.902278,7.16653,6.091583,5.370688,4.857973
48,0.2684043,350.7484,188.2342,39.94449,19.07509,12.16125,8.982733,7.230671,6.145575,5.41783,4.900205
49,0.279659,353.8035,189.7648,40.26215,19.22687,12.2584,9.054672,7.288583,6.194693,5.46097,4.939032
50,0.2919315,356.2734,191.0012,40.52451,19.35544,12.34248,9.117976,7.340191,6.23889,5.500078,4.974438
51,0.3052273,358.1444,191.937,40.73054,19.46044,12.4133,9.17254,7.385435,6.278129,5.535133,5.006409
52,0.3195488,359.4044,192.5669,40.87933,19.54153,12.47072,9.218284,7.424267,6.312382,5.56612,5.034939
53,0.3348949,360.0431,192.8862,40.97015,19.59845,12.5146,9.255142,7.456653,6.341633,5.593032,5.06003
54,0.3512612,360.0515,192.891,41.00237,19.63098,12.54486,9.28307,7.482574,6.365874,5.615871,5.081687
55,0.3686397,359.4224,192.5783,40.97554,19.63899,12.56143,9.302043,7.50202,6.385109,5.634646,5.099924
56,0.3870193,358.1501,191.9457,40.88932,19.62236,12.56428,9.312055,7.515,6.39935,5.649373,5.114759
57,0.4063854,356.2307,190.9918,40.74355,19.58107,12.55341,9.313121,7.521533,6.40862,5.660076,5.126218
58,0.42672,353.6618,189.716,40.5382,19.51514,12.52886,9.305273,7.521651,6.412951,5.666787,5.134333
59,0.448002,350.4429,188.1184,40.27338,19.42465,12.49069,9.288565,7.515402,6.412386,5.669547,5.139139
60,0.4702068,346.5751,186.2,39.94936,19.30974,12.43899,9.263068,7.502844,6.406976,5.6684,5.140681
